filename,content,speaker,gender
hifigan_16k_001.wav,萬不得已我哋點解要離開生長我哋嘅地方,1,female
hifigan_16k_002.wav,佢哋得要燒飯洗衣縫紉要能做到一般嘅家務,1,female
hifigan_16k_003.wav,誰知道咁樣一嚟呢一位高大傢伙態度反而變好咗,1,female
hifigan_16k_004.wav,佢自己前邊掌掌後邊釘釘似乎釘亦都釘得唔好掌亦都掌得唔好,1,female
hifigan_16k_005.wav,所謂會讀書就係本住誠意去讀有價值嘅書,1,female
hifigan_16k_007.wav,一般人見到陌生人嘅時候大抵係會沉默㗎,1,female
hifigan_16k_009.wav,校長嘅意思係唔使你哋動手請外邊嘅油漆工人嚟做,1,female
hifigan_16k_010.wav,獅子燈籠旱船等等似乎亦都同祭鬼好似花樣複雜,1,female
hifigan_16k_011.wav,竟然係我十幾年嚟努力尋找但係有錢都買唔到嘅,1,female
hifigan_16k_012.wav,後來就只有我哋兩個肩並肩咁坐喺草地上面影咗兩張,1,female
hifigan_16k_014.wav,佢想知道孩子係懷念過去定係盼望成長呢,1,female
hifigan_16k_015.wav,仲有我要叫弟弟知道佢有一個品學兼優嘅姐姐,1,female
hifigan_16k_016.wav,吳文藻自己留學嘅時候已經想以學術研究為中國服務,1,female
hifigan_16k_019.wav,一啲都唔了解現代青年嘅潮語點同青年溝通呢,1,female
hifigan_16k_021.wav,呢個係你第一次去小同學屋企做小客人,1,female
hifigan_16k_022.wav,但係因為中學時候學業成績名列前茅,1,female
hifigan_16k_023.wav,我喺西歐美國所見中國留學生嘅食宿皆有不及,1,female
hifigan_16k_024.wav,不過呢個美麗嘅冒犯又引起佢漫無邊際嘅遐想,1,female
hifigan_16k_025.wav,河燈從幾里長嘅上流流咗好耐好耐先至流過嚟,1,female
hifigan_16k_026.wav,睇大戲和母親的說法最見父母二人不同調教方法的有趣對照,1,female
hifigan_16k_027.wav,非常需要母親一般對佢哋嘅呵護同埋關懷,1,female
hifigan_16k_028.wav,同埋個盧都熏得烏黑烏黑就越顯出豆腐嘅白,1,female
hifigan_16k_030.wav,例如首先要搵到值得你去馴服嘅對象,1,female
hifigan_16k_032.wav,弱國之民雖然受到知識份子同小城純樸人民嘅善待,1,female
hifigan_16k_035.wav,至於勞工神聖就唔純係平民社會嘅產物,1,female
hifigan_16k_036.wav,所有教室實驗室自修室圖書館以致寢室無論晴雨全部關閉,1,female
hifigan_16k_037.wav,仲有扐住一個小罐裏面裝住米罐口度蒙咗紅布,1,female
hifigan_16k_041.wav,趙世炎甚至係東方大學旅莫支部嘅幾個委員之一,1,female
hifigan_16k_042.wav,送上嚟嘅點心竟然冇一樣係佢哋揀㗎,1,female
hifigan_16k_043.wav,小狗唔會因為有大狗嘅緣故而唔敢吠,1,female
hifigan_16k_044.wav,所謂會讀書就係本住誠意去讀有價值嘅書,1,female
hifigan_16k_046.wav,你試猜猜六姑教蝦球幾句灣仔通行英語係乜嘢意思呢,1,female
hifigan_16k_047.wav,於是呢個優異生喺美國冇用盡五年嘅費用冇攞到博士就回國,1,female
hifigan_16k_048.wav,我哋一定會發覺老師栽培我哋係如此辛勞,1,female
hifigan_16k_049.wav,為咗兩升豆子喺田上面啊差唔多要半月二十日啊爬到腰酸腳痛,1,female
hifigan_16k_051.wav,社會上既然對中國人以輕蔑侮辱為主,2,female
hifigan_16k_052.wav,王大姐就剪裁住花洋布做成小小嘅衣裳,2,female
hifigan_16k_053.wav,內地遊客嚟香港以探親同埋觀光居多,2,female
hifigan_16k_054.wav,佢哋雖然反恐卻係個小士大夫以天下為己任,2,female
hifigan_16k_055.wav,因為有人問佢係唔係生於資本主義家庭,2,female
hifigan_16k_056.wav,有聲好書回首香港七十年中華書局香港有限公司出版,2,female
hifigan_16k_058.wav,做仔嘅想玩做爸爸嘅就話唔準玩要做功課,2,female
hifigan_16k_059.wav,為咗競爭學生竟然有日本學校競相減短授課時間,2,female
hifigan_16k_060.wav,內地居民可以同香港嘅資本主義隔絕嗎,2,female
hifigan_16k_062.wav,幫我到樓下個福生隆度買支醬油好冇啊,2,female
hifigan_16k_063.wav,於是著手合併村裹兩個蒙館並改成小學,2,female
hifigan_16k_064.wav,於是讀到武者小路實篤所寫嘅白樺的運動,2,female
hifigan_16k_065.wav,我害怕講咗老實話惹得老先生唔高興誰知佢哈哈大笑,2,female
hifigan_16k_067.wav,甚至發夢亦都諗到自己聽到兩個鬧鐘嘅喧嘩後,2,female
hifigan_16k_068.wav,呢個人造大壩面前係一批又一批著住白衫藍褲嘅男男女女,2,female
hifigan_16k_069.wav,係由哲學嘅觀點探討小王子嘅哲學問題,2,female
hifigan_16k_070.wav,自從一位教師喺公開場合同少年學生辯論,2,female
hifigan_16k_071.wav,只有學生同埋做寫字樓嘅文職人員啊先至唔使上學上班,2,female
hifigan_16k_072.wav,但係我仍然成日記住佢個微笑嘅影子,2,female
hifigan_16k_073.wav,貼咗郵票之後輕吻一下信封自言自語咁話,2,female
hifigan_16k_074.wav,哪怕係好簡陋好簡陋㗎因為喺文革時遭受到破壞,2,female
hifigan_16k_075.wav,或者就喺佢哋喺本城或者本鄉裏面有一個出名嘅染缸房,2,female
hifigan_16k_076.wav,呢一種情況喺二十世紀頭二十年最多,2,female
hifigan_16k_078.wav,交咗學費買咗一套職工工具決意實行勞工神聖,2,female
hifigan_16k_080.wav,但係而家肉在砧板上要反抗亦都反抗唔嚟,2,female
hifigan_16k_081.wav,絕大多數中部人士唔歧視亞洲學生而且往往善意結交或者照顧,2,female
hifigan_16k_082.wav,一九六三年佢到新亞書院中文係做講師開現代小說課,2,female
hifigan_16k_083.wav,冷靜慣咗嘅知識分子不免覺得呢啲係起哄,2,female
hifigan_16k_084.wav,例如誇口話自己身上面嘅四根刺足以抵擋老虎,2,female
hifigan_16k_085.wav,當小王子充分意識到佢嘅責任嘅時候,2,female
hifigan_16k_087.wav,呢個恐怕先係百年留學潮嘅最大諷刺最無奈嘅終局,2,female
hifigan_16k_088.wav,但係當日決意實行又唔能夠話冇成果,2,female
hifigan_16k_089.wav,就好似個公仔書講嘅仇家發出警告咁樣啊,2,female
hifigan_16k_090.wav,共產黨人亦反對各種救國論認為政治不良,2,female
hifigan_16k_091.wav,有啲國民黨員認為係演戲但亦有啲學員深受感動,2,female
hifigan_16k_093.wav,席捲青年知識界令西方思潮嘅傳入更深更廣,2,female
hifigan_16k_094.wav,一九七六年嘅時候政府草擬社會保障的未來發展綠皮書,2,female
hifigan_16k_095.wav,呢個時候佢想繼續讀書於是該年年底轉去比利時,2,female
hifigan_16k_096.wav,老師實際上亦都感謝玥意幫佢搵到一個下臺階,2,female
hifigan_16k_098.wav,老遠咁樣匿喺樹縫後面好似鄉下嘅姑娘羞答答咁樣,2,female
hifigan_16k_099.wav,呢次阻截行動亦都係喺千鈞一髮嘅時候進行嘅,2,female
hifigan_16k_100.wav,我似乎越嚟越沉迷種一半出於自作嘅悲痛中,2,female
hifigan_16k_101.wav,啲人聽到呢個藥方嘅效力大都好想知道究竟係乜嘢藥,3,female
hifigan_16k_103.wav,今日嘅算術習作好難做啊姐姐你先幫我做咗呢份功課啊,3,female
hifigan_16k_104.wav,因為連警察都冇辦法確保自己嘅安全,3,female
hifigan_16k_105.wav,來自法國嘅空想社會主義主張適者生存嘅社會達爾文主義,3,female
hifigan_16k_106.wav,後來喺他嘅建議底下我哋養咗一缸熱帶魚,3,female
hifigan_16k_108.wav,戰後嘅三十年裏邊政治離唔開國共之爭,3,female
hifigan_16k_109.wav,所以佢就冇打算直接否定呢一個概念,3,female
hifigan_16k_111.wav,一小塊一小塊嘅豆腐浸喺入面嫩而滑,3,female
hifigan_16k_112.wav,可見日本學術文化空氣已經深深透入一般老百姓嘅心中,3,female
hifigan_16k_113.wav,但係要確保平穩過渡並且喺回歸之後自己嘅生活方式不變,3,female
hifigan_16k_114.wav,古禮所說嘅已婚婦女嘅職責大部份都係同清潔有關,3,female
hifigan_16k_116.wav,所以好學嘅學生每日晚上都去逛夜市,3,female
hifigan_16k_117.wav,佢發覺媽媽憂心忡忡咁等候自己返屋企,3,female
hifigan_16k_118.wav,兒子一講到兩個女兒嘅可愛處就會停唔到口,3,female
hifigan_16k_119.wav,細蚊仔急病嘅時候孤立無援不知道點算好而傷心落淚呢,3,female
hifigan_16k_120.wav,如今喺眾人面前更加感到天宇嘅反擊令佢嘅父親威嚴蕩然無存,3,female
hifigan_16k_121.wav,而中國共產黨員則以個人身份加入國民黨,3,female
hifigan_16k_122.wav,自從二十年前我嘅一隻貓離開我之後,3,female
hifigan_16k_124.wav,有聲好書校園係列何紫兒童小說精選集一,3,female
hifigan_16k_125.wav,如果有實際來往好似教師房東等等仲表現得好友好,3,female
hifigan_16k_126.wav,背後就往往有一種異常單一嘅金錢霸權,3,female
hifigan_16k_128.wav,曾經印咗票規定喺每週嘅固定時間去澡堂裏邊繳票洗澡,3,female
hifigan_16k_129.wav,但係當木生轉過身嚟唔知係邊個狠狠咁樣打咗佢兩個耳光,3,female
hifigan_16k_130.wav,有聲好書校園係列何紫兒童小說精選集一,3,female
hifigan_16k_131.wav,連呢一啲變種嘅共同語言都唔通唔識仲教咩通識呢,3,female
hifigan_16k_132.wav,大家才醒悟剛才他伸出舌頭是怎麼一回事,3,female
hifigan_16k_133.wav,所謂會讀書就係本住誠意去讀有價值嘅書,3,female
hifigan_16k_134.wav,金哲忠義者每日五六元每月儲百元一年可得千元,3,female
hifigan_16k_135.wav,帶咗好多書返嚟為國效勞嘅書生要以賣名著度日,3,female
